Titulo,Descripcion,Categoria,Latitud,Longitud,Fecha del hecho
Incendio forestal en Cordoba,Gran incendio forestal afecto miles de hectareas en las sierras de Cordoba durante el verano,Incendio,-31.4201,-64.1888,2020-08-15
Inundaciones en Buenos Aires,Lluvias torrenciales causaron graves inundaciones en la provincia de Buenos Aires,Inundacion,-34.6037,-58.3816,2021-02-10
Deforestacion en Chaco,Extensas areas de bosque nativo fueron deforestadas para agricultura,Deforestacion,-27.4605,-58.9867,2019-11-20
Contaminacion del Riachuelo,Altos niveles de contaminacion detectados en el Riachuelo afectando la fauna local,Contaminacion,-34.6542,-58.3644,2022-05-18
Terremoto en San Juan,Sismo de magnitud 6.4 sacudio la provincia de San Juan,Terremoto,-31.5375,-68.5364,2021-01-18
Sequia en Mendoza,Prolongada sequia afecto la produccion agricola y vinicola de Mendoza,Sequia,-32.8895,-68.8458,2020-12-05
Tornado en Santa Fe,Tornado causo danos materiales en localidades del sur de Santa Fe,Tornado,-31.6107,-60.6973,2023-03-22
Avalancha en Bariloche,Avalancha de nieve en cerro Catedral dejo varios heridos,Avalancha,-41.1335,-71.3103,2022-07-30
Contaminacion minera en Catamarca,Derrame de sustancias toxicas de mina afecto cursos de agua,Contaminacion,-28.4696,-65.7795,2021-09-12
Incendio en Delta del Parana,Incendios intencionales destruyeron gran parte del humedal del Delta,Incendio,-34.0922,-58.8356,2020-09-25
Deslizamiento en Jujuy,Fuertes lluvias causaron deslizamiento de tierra en ruta provincial,Deslizamiento,-24.1858,-65.2995,2023-01-14
Granizada en Tucuman,Intensa granizada destruyo cultivos de limon y cana de azucar,Granizada,-26.8083,-65.2176,2022-11-08
Helada en La Pampa,Helada tardia afecto campos de trigo en plena epoca de cosecha,Helada,-36.6167,-64.2833,2021-10-20
Alud en Ushuaia,Alud de nieve bloqueo ruta de acceso a centro de esqui,Alud,-54.8019,-68.3029,2022-08-17
Contaminacion del Lago San Roque,Floracion de algas toxicas en lago afecto suministro de agua potable,Contaminacion,-31.3547,-64.4569,2023-02-28
Incendio en Salta,Incendio forestal en zonas montañosas de Salta,Incendio,-24.7859,-65.4117,2021-06-15
Inundacion en Entre Rios,Crecida del rio Uruguay inundo varias localidades,Inundacion,-31.7333,-60.5293,2022-04-22
Deforestacion en Santiago del Estero,Tala ilegal de bosque nativo para ganaderia,Deforestacion,-27.7834,-64.2642,2020-03-10
Contaminacion en Rio Tercero,Derrame industrial afecto curso de agua,Contaminacion,-32.1735,-64.1118,2021-08-19
Sequia en La Rioja,Falta de lluvias afecto reservorios de agua,Sequia,-29.4131,-66.8558,2022-01-25
Tornado en Cordoba,Tornado causo destrozos en zona rural,Tornado,-31.4201,-64.1888,2023-05-14
Incendio en Neuquen,Fuego consumio hectareas de bosque patagonico,Incendio,-38.9516,-68.0591,2021-12-08
Granizada en San Luis,Granizo del tamaño de pelotas de golf destruyo techos,Granizada,-33.2956,-66.3356,2022-10-03
Contaminacion en Mar del Plata,Vertido de efluentes al mar afecto playas,Contaminacion,-38.0055,-57.5426,2023-01-07
Deslizamiento en Rio Negro,Lluvias causaron derrumbe en ruta costera,Deslizamiento,-40.8135,-62.9967,2021-07-20
Helada en San Juan,Helada afecto viñedos en valle de Tulum,Helada,-31.5375,-68.5364,2022-09-18
Incendio en Formosa,Quema de pastizales se descontroló,Incendio,-26.1775,-58.1781,2020-10-12
Inundacion en Chaco,Desborde de ríos por lluvias intensas,Inundacion,-27.4605,-58.9867,2021-03-29
Contaminacion en Rosario,Altos niveles de contaminación del aire,Contaminacion,-32.9468,-60.6393,2022-06-14
Terremoto en Mendoza,Movimiento sísmico de magnitud 5.8,Terremoto,-32.8895,-68.8458,2023-02-11
Deforestacion en Misiones,Perdida de selva misionera por agricultura,Deforestacion,-27.3621,-55.9006,2020-11-05
Sequia en Corrientes,Bajante historica del rio Parana,Sequia,-27.4806,-58.8341,2021-09-22
Incendio en Catamarca,Incendio en zona de monte nativo,Incendio,-28.4696,-65.7795,2022-07-16
Granizada en Cordoba Capital,Tormenta severa con granizo afecto la ciudad,Granizada,-31.4201,-64.1888,2023-04-08
Contaminacion en La Plata,Contaminacion de napas por residuos industriales,Contaminacion,-34.9215,-57.9545,2021-05-13
Tornado en La Pampa,Tornado causo daños en zona agricola,Tornado,-36.6167,-64.2833,2022-11-27
Inundacion en Santa Cruz,Deshielo provoco inundaciones en zona urbana,Inundacion,-51.6226,-69.2181,2023-03-19
Incendio en Tierra del Fuego,Incendio forestal en zona de turberas,Incendio,-54.8019,-68.3029,2021-01-30
Helada en Tucuman,Helada tardia afecto plantaciones de citricos,Helada,-26.8083,-65.2176,2022-08-25
Deforestacion en Salta,Desmonte para cultivo de soja,Deforestacion,-24.7859,-65.4117,2020-06-18
Contaminacion en Mendoza,Contaminacion del rio Mendoza por actividad minera,Contaminacion,-32.8895,-68.8458,2021-10-09
Sequia en Jujuy,Sequia afecto comunidades rurales,Sequia,-24.1858,-65.2995,2022-12-21
Incendio en Chubut,Incendio en estepa patagonica,Incendio,-43.3002,-65.1023,2023-06-05
Granizada en Santa Fe,Granizo destruyo cultivos de maiz,Granizada,-31.6107,-60.6973,2021-11-14
Tornado en Buenos Aires,Tornado afecto zona suburbana,Tornado,-34.6037,-58.3816,2022-02-28
